image,category,x1,y1,x2,y2
0010bf16-9ee17cd9,person,536.184128,297.871006,550.293806,332.361334
0010bf16-9ee17cd9,person,760.371252,304.141975,785.455129,376.258113
0010bf16-9ee17cd9,person,785.455127,297.871006,816.809969,379.393597
002b485a-3f6603f2,person,838.962497,438.302481,850.56462,464.084979
002d290d-01969e7d,person,945.381671,436.298001,969.088999,489.951425
002d290d-01969e7d,person,909.196805,428.811478,941.63841,496.190196
002d290d-01969e7d,person,847.640926,437.96167,865.109483,492.862846
002d290d-01969e7d,person,866.357236,435.466162,887.569055,491.615091
002d290d-01969e7d,person,892.560072,431.722899,907.533122,456.677981
002d290d-01969e7d,person,999.035095,430.475147,1027.733438,489.119586
002d290d-01969e7d,person,729.520221,420.909042,744.493273,439.625353
002d290d-01969e7d,person,301.956479,442.120862,316.929529,480.801236
002d290d-01969e7d,person,328.159314,438.377601,338.141347,452.102894
002d290d-01969e7d,person,340.636855,438.377601,348.12338,453.350648
002d290d-01969e7d,person,293.2222,447.111877,303.204232,464.580433
002d290d-01969e7d,person,286.983431,444.616371,293.2222,460.837172
002d290d-01969e7d,person,279.496907,443.368616,288.231185,462.084927
002d290d-01969e7d,person,259.532842,444.616371,273.258137,460.837172
002d290d-01969e7d,person,243.312038,447.111877,258.285088,462.084928
002d290d-01969e7d,person,224.595729,445.864124,237.07327,460.837171
002d290d-01969e7d,person,232.082252,444.616371,243.312038,462.084927
002d290d-01969e7d,person,215.86145,447.111877,224.595729,463.332679
002d290d-01969e7d,person,199.640646,445.864124,212.118187,462.084927
002d290d-01969e7d,person,143.491716,439.625353,153.473748,477.057974
002d290d-01969e7d,person,152.225994,442.120862,162.208028,467.075944
002d290d-01969e7d,person,172.203043,439.209422,190.919354,469.15552
002f8552-0cdd55c6,person,1002.606337,243.337328,1038.043811,310.837281
002f8552-0cdd55c6,person,867.60643,255.149819,887.856416,293.962293
002f8552-0cdd55c6,person,852.418941,246.712325,874.356425,283.837302
002f8552-0cdd55c6,person,951.981372,250.087323,985.731348,319.274776
002f8552-0cdd55c6,person,104.856955,246.712325,147.044425,361.462247
002f8552-0cdd55c6,person,420.419238,248.399824,444.04422,282.149801
002f8552-0cdd55c6,person,162.231914,252.449826,189.231895,318.262282
002f8552-0cdd55c6,person,136.919433,250.762329,157.169418,330.074775
0035afff-3295dbd6,person,59.994566,379.398972,100.284722,446.549232
00690c26-e4bbbd72,person,82.351767,207.127171,111.05011,230.834498
00690c26-e4bbbd72,person,957.859211,234.993681,1056.110973,388.738851
00690c26-e4bbbd72,person,805.633219,239.984697,820.606265,292.390367
00690c26-e4bbbd72,person,788.164662,239.984697,805.633219,298.62914
00690c26-e4bbbd72,person,633.443161,239.984697,649.663964,269.930796
00690c26-e4bbbd72,person,734.511239,227.507157,768.200598,304.867908
00690c26-e4bbbd72,person,319.425035,257.453254,331.902575,281.160581
006fdb67-f4820206,person,673.47678,357.947865,691.449055,398.38549
006fdb67-f4820206,person,706.425954,351.957106,718.407472,395.39011
006fdb67-f4820206,person,721.402852,353.454795,731.88668,393.89242
006fdb67-f4820206,person,731.886682,360.943245,742.370511,399.883179
006fdb67-f4820206,person,743.868201,357.947865,757.347408,398.38549
0070bc56-4c0bb2d5,person,359.353164,366.839689,432.970653,534.038731
007693e6-c2a8b9a7,person,363.490478,282.26607,432.14979,553.313283
007693e6-c2a8b9a7,person,1057.712443,358.5542,1147.911932,541.6457
007ae77f-79995643,person,1188.735235,279.918493,1237.22505,352.653221
007ae77f-79995643,person,1133.633168,279.918493,1185.429109,353.755261
007ae77f-79995643,person,1067.510689,245.387863,1098.367846,346.775662
007ae77f-79995643,person,1015.714747,253.469503,1049.87803,341.632805
007ae77f-79995643,person,966.122888,256.775625,1000.28617,347.143011
007ae77f-79995643,person,911.020823,268.163398,937.469813,332.081793
00a1176f-5121b501,person,1063.356295,266.962312,1081.918782,304.087287
00a1176f-5121b501,person,990.793845,275.399807,1012.73133,310.837282
00a1176f-5121b501,person,970.543859,265.274813,992.481344,314.212279
00a1176f-5121b501,person,862.543933,266.962312,881.106421,305.774785
00a1176f-5121b501,person,820.356462,266.962312,833.856453,302.399788
00fc910e-bce87172,person,932.09683,406.705265,961.51262,457.863159
00fc910e-bce87172,person,272.159987,415.657897,288.786302,450.189476
00fc910e-bce87172,person,290.065249,422.052635,302.854723,446.352635
0135988f-9fcccf88,person,1260.05524,377.645267,1277.628118,446.838474
01461010-eeca4bf2,person,815.579984,430.911713,863.731104,483.959556
01461010-eeca4bf2,person,798.44145,420.302144,827.005674,488.04016
01461010-eeca4bf2,person,713.564899,400.715248,727.43895,424.382748
01461010-eeca4bf2,person,722.542226,406.428093,753.554813,481.511194
01461010-eeca4bf2,person,699.690849,408.876455,738.864641,517.420504
01461010-eeca4bf2,person,653.98809,391.737921,685.816796,465.188781
01461010-eeca4bf2,person,529.93775,367.254301,544.627924,413.773179
01461010-eeca4bf2,person,587.062802,380.584281,617.259267,461.380227
01461010-eeca4bf2,person,665.682429,415.677468,705.672342,533.198844
01461010-eeca4bf2,person,774.226491,415.677468,798.710111,478.518759
01461010-eeca4bf2,person,501.09809,374.871435,528.030072,459.747986
01461010-eeca4bf2,person,1174.669714,498.377705,1228.533678,625.692529
01632f31-ab7e17e3,person,0.798345,425.125093,59.677172,569.827295
019c8305-0bb153d0,person,40.707955,301.560712,125.438508,514.185738
019c8305-0bb153d0,person,877.171088,374.638153,890.896384,412.070772
019c8305-0bb153d0,person,456.619887,351.340233,466.413344,405.204244
019c8305-0bb153d0,person,439.48134,352.564416,462.740796,401.531697
01c5cd64-76bf9abb,person,123.52765,386.803753,152.225992,446.695947
01c5cd64-76bf9abb,person,200.888401,374.326213,222.10022,426.731883
01c5cd64-76bf9abb,person,990.716711,359.353164,1041.874626,446.695947
01c5cd64-76bf9abb,person,811.040128,368.087443,821.022161,391.794768
01c5cd64-76bf9abb,person,838.490717,364.34418,847.224996,390.547015
01cce42a-cd2acad5,person,921.374367,366.609123,936.561857,398.671601
01ea515d-3dc73413,person,316.929527,310.690757,329.407067,326.91156
01fbf6af-9d47ed83,person,540.015629,346.009241,561.513245,393.611105
01ff2210-c4cd7f4f,person,843.981446,353.024752,881.106419,430.649699
0204aad7-05dbee41,person,270.935507,366.222149,287.773307,406.020586
0204aad7-05dbee41,person,260.220544,369.283567,280.119762,421.327677
0204aad7-05dbee41,person,244.913454,367.752857,263.281963,419.796967
0204aad7-05dbee41,person,119.395309,352.445767,139.294527,409.082003
0204aad7-05dbee41,person,88.781128,352.445767,128.579564,409.082003
0204aad7-05dbee41,person,42.859854,338.669385,84.189,412.143421
0204aad7-05dbee41,person,16.8378,360.099312,38.267727,396.83633
0204aad7-05dbee41,person,3.061418,358.568603,18.36851,381.529238
0204aad7-05dbee41,person,805.152978,367.752857,818.92936,410.612713
0204aad7-05dbee41,person,1157.598746,346.322932,1186.68222,432.04264
0204aad7-05dbee41,person,1123.923146,337.138676,1156.068037,432.042639
0204aad7-05dbee41,person,1162.190873,340.200093,1201.989311,444.288311
0204aad7-05dbee41,person,1195.866472,346.322932,1220.35782,444.288314
